,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
19,0.122892,0.009135,0.000088,0.050496,0.130131,0.082708,0.035864,0.058058,0.046711,0.001922,0.103656,0.020966,0.052701,0.005654,0.089325,0.000071,0.000071,0.033564,0.080533,0.075616,5,1,11,15,6
20,0.079416,0.004845,0.000834,0.059377,0.081945,0.074587,0.074587,0.049054,0.054692,0.001775,0.087048,0.015817,0.056436,0.000706,0.080259,0.001096,0.001096,0.015817,0.059934,0.033716,11,5,15,1,6
21,0.002133,0.000137,0.000201,0.001242,0.001242,0.00049,0.001809,0.002434,0.000904,0.001242,0.001242,0.000162,0.001254,0.000137,0.000137,0.000005,0.000005,0.000149,0.001432,0.001355,8,1,7,19,20
22,0.054165,0.108896,0.028056,0.040218,0.002565,0.070122,0.224788,0.000283,0.088272,0.018439,0.028656,0.075574,0.132397,0.108896,0.028656,0.028056,0.028056,0.108896,0.028182,0.018439,7,13,2,14,18
23,0.176988,0.003182,0.019718,0.136423,0.064379,0.07207,0.051815,0.104351,0.147749,0.014404,0.090571,0.097955,0.014427,0.004103,0.040664,0.011759,0.011759,0.014404,0.110727,0.115588,1,9,4,20,19
24,0.154965,0.003839,0.012751,0.174391,0.184236,0.105138,0.005211,0.164926,0.049555,0.012188,0.185886,0.075921,0.041103,0.003839,0.071267,0.011381,0.011381,0.014651,0.085243,0.065093,11,5,4,8,1
25,0.006502,0.000131,0.012062,0.037969,0.000883,0.000506,0.028779,0.001593,0.024468,0.00062,0.001032,0.025798,0.00001,0.000131,0.001032,0.002957,0.002957,0.004005,0.000313,0.003421,4,7,12,9,3
26,0.108329,0.009168,0.001466,0.056006,0.096154,0.003693,0.005537,0.085825,0.046945,0.012008,0.067244,0.042394,0.027987,0.000022,0.067921,0.011749,0.011749,0.023381,0.008337,0.016303,1,5,8,15,11
27,0.026198,0.004629,0.000835,0.034687,0.036365,0.023675,0.013387,0.024484,0.005808,0.001901,0.015391,0.010162,0.01066,0.002677,0.029237,0.000157,0.000157,0.000684,0.007679,0.00286,5,4,15,1,8
28,0.037344,0.017274,0.00191,0.051508,0.060558,0.009787,0.003845,0.073311,0.064678,0.002713,0.025095,0.035854,0.008985,0.001271,0.035854,0.024584,0.024584,0.009387,0.027495,0.032798,8,9,5,4,1
29,0.005294,0.001591,0,0.114388,0.32971,0.030301,0.000097,0.005294,0.014995,0.141876,0.181345,0.008787,0.042718,0.001591,0.011342,0.141006,0.141006,0.394077,0.000097,0.001591,18,5,11,10,16
30,0.1969,0.17712,0.000386,0.248527,0.25435,0.311323,0.109115,0.1969,0.154098,0.017409,0.154098,0.005663,0.135335,0.000356,0.118158,0.010669,0.010669,0.032135,0.005663,0.053606,6,5,4,1,8
31,0.00187,0.000693,0.000238,0.023222,0.011449,0.001464,0.000167,0.019506,0.000031,0.001352,0.01123,0.00054,0.000109,0.000665,0.012095,0.000135,0.000135,0.011869,0.01057,0.008268,4,8,15,18,5
